label,centroid_x_um,centroid_y_um,length_um,width_um,length_mm,volume_um3,volume_mm3,area_um2,mask_path
45,37769.06899976056,1311.3077235651685,2859.911448829841,1560.9398,2.859911448829841,3243126553.873296,3.243126553873296,2227466.3677024124,out/guided_masks/guided_mask_45.png
46,37671.187305303036,743.0437829804373,1637.1760764560609,1337.9484,1.6371760764560608,1435196713.4219093,1.4351967134219092,1536397.0818798663,out/guided_masks/guided_mask_46.png
47,37308.23171773865,1305.8207146737648,2659.601769740597,1992.0565066666668,2.659601769740597,5158402846.812941,5.15840284681294,3238102.710544275,out/guided_masks/guided_mask_47.png
48,37176.014914953565,717.1727126332333,1970.6167149539856,1873.12776,1.9706167149539855,2594501243.0986366,2.5945012430986365,2062378.8216488655,out/guided_masks/guided_mask_48.png
49,36334.08446927299,726.475173720139,3341.024697488236,3151.611786666667,3.341024697488236,7654134756.940423,7.654134756940423,3984201.1783846705,out/guided_masks/guided_mask_49.png
50,36069.17491198075,508.0077248445558,1887.9938533333334,1887.9938533333334,1.8879938533333334,2358389622.697433,2.358389622697433,1499931.961265629,out/guided_masks/guided_mask_50.png
51,34716.948641125826,499.6835185700396,3657.05896,3657.05896,3.6570589599999996,9160982930.877075,9.160982930877076,2955000.774139196,out/guided_masks/guided_mask_51.png
52,34744.31341466674,1369.5546861144153,2802.104114393372,2333.976653333333,2.802104114393372,7717202216.97575,7.71720221697575,3604300.921803616,out/guided_masks/guided_mask_52.png
53,33758.07900481578,550.9582157724424,3553.47125190519,3434.06756,3.55347125190519,8077850653.951544,8.077850653951543,2973122.834080817,out/guided_masks/guided_mask_53.png
54,33740.82797762078,1132.9836779386537,2828.7794548611523,1992.0565066666668,2.8287794548611522,5127514207.011665,5.127514207011665,3040528.0570344073,out/guided_masks/guided_mask_54.png
55,33857.79444017977,441.7173279846488,2007.481044148081,1962.32432,2.007481044148081,2008222611.5575264,2.0082226115575263,1458825.8253004886,out/guided_masks/guided_mask_55.png
56,33424.251016808,492.3334273893462,1857.304332769678,1783.9312,1.857304332769678,1882631287.5092149,1.8826312875092148,1423023.7068792374,out/guided_masks/guided_mask_56.png
57,33017.46258779624,1152.9878805980677,2606.194831931595,2006.9226,2.606194831931595,4765410446.507701,4.765410446507701,2966050.810688965,out/guided_masks/guided_mask_57.png
